air,date,hr,subhr,vmc,runway,dep,arr,oper
SFO,6/1/13,0,1,VMC,"28L, 28R | 28L, 28R",3,4,7
SFO,6/1/13,0,2,VMC,"28L, 28R | 28L, 28R",2,2,4
SFO,6/1/13,0,3,VMC,"28L, 28R | 28L, 28R",2,1,3
SFO,6/1/13,0,4,VMC,"28L, 28R | 28L, 28R",2,2,4
SFO,6/1/13,1,1,VMC,"28L, 28R | 28L, 28R",2,0,2
SFO,6/1/13,1,2,VMC,"28L, 28R | 28L, 28R",2,0,2
SFO,6/1/13,1,3,VMC,"28L, 28R | 28L, 28R",0,1,1
SFO,6/1/13,1,4,VMC,"28L, 28R | 28L, 28R",2,0,2
SFO,6/1/13,2,1,VMC,"28L, 28R | 28L, 28R",1,0,1
SFO,6/1/13,2,2,VMC,"28L, 28R | 28L, 28R",1,0,1
SFO,6/1/13,2,3,VMC,"28L, 28R | 28L, 28R",0,0,0
SFO,6/1/13,2,4,VMC,"28L, 28R | 28L, 28R",0,0,0
SFO,6/1/13,3,1,VMC,"28L, 28R | 28L, 28R",1,0,1
SFO,6/1/13,3,2,VMC,"28L, 28R | 28L, 28R",0,0,0
SFO,6/1/13,3,3,VMC,"28L, 28R | 28L, 28R",1,1,2
SFO,6/1/13,3,4,VMC,"28L, 28R | 28L, 28R",0,0,0
SFO,6/1/13,4,1,VMC,"28L, 28R | 28L, 28R",1,0,1
SFO,6/1/13,4,2,VMC,"28L, 28R | 28L, 28R",0,0,0
SFO,6/1/13,4,3,VMC,"28L, 28R | 28L, 28R",0,1,1
SFO,6/1/13,4,4,VMC,"28L, 28R | 28L, 28R",0,1,1
SFO,6/1/13,5,1,VMC,"28L, 28R | 28L, 28R",0,1,1
SFO,6/1/13,5,2,VMC,28R | 1R,0,0,0
SFO,6/1/13,5,3,VMC,28R | 1R,2,0,2
SFO,6/1/13,5,4,VMC,28R | 1R,0,3,3
SFO,6/1/13,6,1,VMC,28R | 1R,3,2,5
SFO,6/1/13,6,2,VMC,28R | 1R,7,1,8
SFO,6/1/13,6,3,VMC,28R | 1R,5,2,7
SFO,6/1/13,6,4,VMC,28R | 1R,5,5,10
SFO,6/1/13,7,1,VMC,28R | 1R,9,8,17
SFO,6/1/13,7,2,VMC,28R | 1R,10,7,17
SFO,6/1/13,7,3,VMC,28R | 1R,6,6,12
SFO,6/1/13,7,4,VMC,28R | 1R,5,4,9
SFO,6/1/13,8,1,VMC,"28L, 28R | 1L, 1R",7,10,17
SFO,6/1/13,8,2,VMC,"28L, 28R | 1L, 1R",10,8,18
SFO,6/1/13,8,3,VMC,"28L, 28R | 1L, 1R",15,3,18
SFO,6/1/13,8,4,VMC,"28L, 28R | 1L, 1R",6,7,13
SFO,6/1/13,9,1,VMC,"28L, 28R | 1L, 1R",7,11,18
SFO,6/1/13,9,2,VMC,"28L, 28R | 1L, 1R",11,9,20
SFO,6/1/13,9,3,VMC,"28L, 28R | 1L, 1R",8,12,20
SFO,6/1/13,9,4,VMC,"28L, 28R | 1L, 1R",8,6,14
SFO,6/1/13,10,1,VMC,"28L, 28R | 1L, 1R",4,8,12
SFO,6/1/13,10,2,VMC,"28L, 28R | 1L, 1R",3,6,9
SFO,6/1/13,10,3,VMC,"28L, 28R | 1L, 1R",4,12,16
SFO,6/1/13,10,4,VMC,"28L, 28R | 1L, 1R",14,8,22
SFO,6/1/13,11,1,VMC,"28L, 28R | 1L, 1R",11,13,24
SFO,6/1/13,11,2,VMC,"28L, 28R | 1L, 1R",14,8,22
SFO,6/1/13,11,3,VMC,"28L, 28R | 1L, 1R",9,9,18
SFO,6/1/13,11,4,VMC,"28L, 28R | 1L, 1R",8,15,23
SFO,6/1/13,12,1,VMC,"28L, 28R | 1L, 1R",10,5,15
SFO,6/1/13,12,2,VMC,"28L, 28R | 1L, 1R",5,8,13
SFO,6/1/13,12,3,VMC,"28L, 28R | 1L, 1R",7,8,15
SFO,6/1/13,12,4,VMC,"28L, 28R | 1L, 1R",6,7,13
SFO,6/1/13,13,1,VMC,"28L, 28R | 1L, 1R",11,11,22
SFO,6/1/13,13,2,VMC,"28L, 28R | 1L, 1R",19,6,25
SFO,6/1/13,13,3,VMC,"28L, 28R | 1L, 1R",7,8,15
SFO,6/1/13,13,4,VMC,"28L, 28R | 1L, 1R",13,7,20
SFO,6/1/13,14,1,VMC,"28L, 28R | 1L, 1R",7,3,10
SFO,6/1/13,14,2,VMC,"28L, 28R | 1L, 1R",11,7,18
SFO,6/1/13,14,3,VMC,"28L, 28R | 28L, 28R",9,7,16
SFO,6/1/13,14,4,VMC,"28L, 28R | 28L, 28R",8,7,15
